"CountryofAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","Childwhynotschool_nodocs","Childwhynotschool_nomoney","Childwhynotschool_failedschool","Childwhynotschool_childwork","Childwhynotschool_fearschool","Childwhynotschool_disease","Childwhynotschool_disability","Childwhynotschool_helphome","Childwhynotschool_familynot","Childwhynotschool_noschools","Childwhynotschool_nointerest","Childwhynotschool_pregnancy","Childwhynotschool_nospot","Childwhynotschool_notransport","Childwhynotschool_discrimnation","Childwhynotschool_discrimethnic","Childwhynotschool_finished","Childwhynotschool_recentlyarrive","Childwhynotschool_intransit","Childwhynotschool_noinfo","Childwhynotschool_toolate","Childwhynotschool_nolanguage","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical","whynotMedical_nomoney","whynotMedical_noinsurance","whynotMedical_noID","whynotMedical_noinfo","whynotMedical_feararrested","whynotMedical_distance","whynotMedical_notavailable","whynotMedical_denied"
"RepublicaDominicana","venezuela",NA,"stay",3,2,"",0,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",3,0,"nointention",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,0,"nointention",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",2,1,"",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",2,1,"nointention",0,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",NA,NA,"",0,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,2,"yes",0,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",NA,NA,"nointention",0,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,0,"nointention",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",1,1,"",0,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,0,"nointention",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",4,0,"yes",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyDisagree","Agree",1,NA,0,1,0,0,0,0,0,0
"RepublicaDominicana","venezuela",NA,"relocate",NA,NA,"nointention",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",2,3,"nointention",0,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"dontknow",3,0,"nointention",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",NA,NA,"",0,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,2,"nointention",0,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"dontknow",3,1,"nointention",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",1,0,"",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,1,"nointention",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",1,0,"yes",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,0,"nointention",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,0,"",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",4,1,"yes",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",4,1,"",0,"no","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Agree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",1,1,"nointention",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",2,2,"yes",0,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",NA,NA,"yes",0,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,1,"nointention",0,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"stay",1,2,"nointention",0,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,0,"nointention",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyDisagree","StronglyAgree",1,NA,1,0,0,0,0,0,0,0
"RepublicaDominicana","venezuela",NA,"stay",NA,NA,"nointention",0,"no","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RepublicaDominicana","venezuela",NA,"relocate",2,1,"nointention",0,"no","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"StronglyAgree","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
